fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
270,1747308744139490829,1747308746071364829,1931.874,778.89124,784.7905
271,1747308746111364829,1747308746721866829,610.502,811.23737,750.00287
272,1747308746751989829,1747308747862988829,1110.999,776.87756,773.16907
273,1747308747897988829,1747308748433488829,535.5,807.114,730.9699
274,1747308748468613829,1747308749349363829,880.75,774.79724,777.9288
275,1747308749384362829,1747308750125112829,740.75,805.16614,730.0581
276,1747308750160112829,1747308750645615829,485.503,775.0915,772.6528
277,1747308750680616829,1747308751271237829,590.621,799.88403,731.3502
278,1747308751301237829,1747308751856737829,555.5,766.9944,767.37115
279,1747308751886737829,1747308752202111829,315.37399999999997,789.0398,725.6808
280,1747308752227111829,1747308752632486829,405.375,757.71204,738.30786
281,1747308752667488829,1747308753172986829,505.498,760.3845,680.0609
282,1747308753207986829,1747308754088860829,880.8739999999999,774.8092,733.9044
283,1747308754113861829,1747308754824487829,710.626,808.29095,717.06476
284,1747308754849485829,1747308755575235829,725.75,804.70966,729.1998
285,1747308755595235829,1747308756445984829,850.7489999999999,809.67975,731.83307
286,1747308756466109829,1747308758032496829,1566.387,778.65717,708.70044
287,1747308758277734829,1747308758532984829,255.25,753.5663,724.44653
288,1747308758562983829,1747308758798234829,235.25099999999998,787.00616,732.4048
289,1747308758848233829,1747308759143608829,295.375,759.7513,576.04443
290,1747308759193611829,1747308759598983829,405.37199999999996,789.7877,731.30145
291,1747308759664108829,1747308759899240829,235.13199999999998,763.4079,613.75964
292,1747308759949372829,1747308760524858829,575.486,791.2404,720.92
293,1747308760549858829,1747308762096357829,1546.499,766.5231,717.6246
294,1747308762131357829,1747308763467606829,1336.249,816.78986,681.9543
295,1747308763502609829,1747308764158231829,655.622,766.6834,700.1711
296,1747308764208356829,1747308765279355829,1070.999,791.05365,666.4692
297,1747308765299356829,1747308765964980829,665.624,776.1568,699.7982
298,1747308766019980829,1747308766205230829,185.25,752.80804,571.9911
299,1747308766225243829,1747308766480487829,255.244,736.23016,548.9679
300,1747308766535480829,1747308766990855829,455.375,755.15564,694.5682
301,1747308767025980829,1747308767436354829,410.37399999999997,802.2381,681.69806
302,1747308767466359829,1747308768732492829,1266.133,772.4232,693.3118
303,1747308768757604829,1747308769483228829,725.624,761.9768,687.8976
304,1747308769518228829,1747308769808603829,290.375,822.51514,690.7576
305,1747308769843603829,1747308770514228829,670.625,769.6996,690.07104
306,1747308770549228829,1747308771314981829,765.7529999999999,846.1867,684.21967
307,1747308771344977829,1747308771795477829,450.5,811.19714,694.3733
308,1747308771815477829,1747308772561105829,745.6279999999999,847.3232,693.715
309,1747308772596227829,1747308773161732829,565.505,799.4324,693.90515
310,1747308773191727829,1747308773311852829,120.125,792.88324,647.3196
311,1747308773361851829,1747308773642101829,280.25,740.1965,536.02484
312,1747308773662229829,1747308773817354829,155.125,757.0895,533.60876
313,1747308773852351829,1747308774282726829,430.375,796.19324,670.5378
314,1747308774307726829,1747308774693101829,385.375,750.947,698.2587
315,1747308774723101829,1747308774993351829,270.25,787.6339,720.7357
316,1747308775013476829,1747308775894225829,880.7489999999999,799.807,725.0903
317,1747308775924225829,1747308776074475829,150.25,854.3613,751.4923
318,1747308776114475829,1747308776474859829,360.38399999999996,914.9952,798.7894
319,1747308776519850829,1747308776900225829,380.375,799.5457,748.8655
320,1747308776935240829,1747308777180480829,245.23999999999998,833.4706,723.8032
321,1747308777205474829,1747308777520724829,315.25,856.31274,791.8602
322,1747308777640849829,1747308777806099829,165.25,972.12445,829.09076
323,1747308777831099829,1747308778126349829,295.25,962.93036,831.4414
324,1747308778166349829,1747308778376599829,210.25,897.9561,837.38916
325,1747308778451599829,1747308778726849829,275.25,752.30975,1042.3572
326,1747308778791974829,1747308779062223829,270.24899999999997,915.33826,828.5638
327,1747308779092223829,1747308779482598829,390.375,903.4346,857.23895
328,1747308779507600829,1747308780643723829,1136.123,878.45886,764.13477
329,1747308780673723829,1747308781284347829,610.624,830.6408,672.9944
330,1747308781319347829,1747308781694722829,375.375,773.92694,681.9674
331,1747308781729722829,1747308784577345829,2847.623,841.41113,648.5452
332,1747308784607470829,1747308785968720829,1361.25,839.4418,648.6453
333,1747308785988720829,1747308786509219829,520.499,834.49286,668.1933
334,1747308786529219829,1747308786774469829,245.25,859.8537,725.29834
335,1747308786804469829,1747308787575219829,770.75,825.92145,846.4126
336,1747308787610222829,1747308787745359829,135.137,896.10077,791.1455
337,1747308787785344829,1747308787920470829,135.126,772.39825,784.20996
338,1747308787960593829,1747308788115719829,155.126,724.9162,769.886
339,1747308788145718829,1747308788430968829,285.25,783.7987,753.8879
340,1747308788516093829,1747308788841343829,325.25,823.43494,929.2248
341,1747308788876468829,1747308789296857829,420.38899999999995,856.4165,822.9388
342,1747308789331843829,1747308789592093829,260.25,794.1518,799.59424
343,1747308789657092829,1747308789867342829,210.25,850.1227,787.80853
344,1747308789932480829,1747308790603092829,670.612,762.3768,862.61285
345,1747308790638092829,1747308790783217829,145.125,853.6015,895.62683
346,1747308791023467829,1747308791238592829,215.125,631.9603,99.43205
347,1747308791293720829,1747308791513841829,220.12099999999998,744.1494,317.66666
348,1747308791603967829,1747308792064476829,460.50899999999996,838.6314,755.8924
349,1747308792134466829,1747308792399716829,265.25,927.85114,881.759
350,1747308792444716829,1747308792845091829,400.375,847.6202,764.1315
351,1747308792895216829,1747308793110341829,215.125,623.2189,691.76825
352,1747308793255479829,1747308793545840829,290.361,1056.5698,853.1207
353,1747308793640840829,1747308793906090829,265.25,999.4842,1014.31757
354,1747308793921090829,1747308794471715829,550.625,885.9049,833.4455
355,1747308794526715829,1747308795012214829,485.49899999999997,865.1152,829.8175
356,1747308795042214829,1747308795197339829,155.125,860.3857,775.07544
357,1747308795227339829,1747308795487600829,260.26099999999997,858.6943,736.9783
358,1747308795517589829,1747308795667841829,150.25199999999998,856.5434,788.59534
359,1747308795697839829,1747308795958089829,260.25,866.28503,732.1536
360,1747308795988102829,1747308796373472829,385.37,868.62775,761.6481
361,1747308796453463829,1747308797034088829,580.625,1019.58594,805.2888
362,1747308797064088829,1747308797289338829,225.25,987.88165,826.7725
363,1747308797314338829,1747308797494463829,180.125,996.389,829.21326
364,1747308797529474829,1747308798039963829,510.489,953.0178,757.46423
